date,review,rating,isEdited,userName,title,app
2022-08-30 12:10:57,someone scammed me over instagram turned out to be someone who is fake and who was attention seeking can i let everyone know this person has been reported to the fbi here in the u s as i m outta the country this was a romance scam too i think there is a lot of people that are pretending to pose as women online and they are trying to basically ruin lives and it is not fair on people that are trying to make friends online to talk to someone and then turn out to be fake and they lose out on someone that they thought was a best friend in which they thought that they was actually listening to them but they wasn t they was just literally messing around with their head this is exactly what has happened to me and it is not the first time but i am cracking down now and reporting things so this happened on instagram but this person was from the imvu application and they were posting photos of someone that makes you think that it is the same person but in which it is not i would like instagram and also the imvu app to do a big check on accounts if i think i know that an account is fake it is but the thing is instagram and facebook you guys don t even know at all i think a lot of work has to be done and sorted out to be honest ,5,False,jay mk 2014,Hi everyone someone,Instagram
2017-11-01 13:11:52,i have two accounts for a reason one for personal use and the other one for my business before it was very easy to hop between accounts and use them for different reasons as they have a different purpose the new updates stops all of this i had two accounts because i didn t want my business followers to see my personal stories i also followed different people on the two different accounts for a reason i followed friends on my personal pages and work related accounts on my business page this kept the two this separate now my personal page stories are also posted to my business account due to the update i don t not want my business followers to see what i m up to at the weekend or what i m cooking etc you may as well only let people have one account if the new update is going to show everything on both accounts another bad thing is the people i follow on both accounts are now merged crammed into one feed and are all mixed up i followed different people on the different accounts for a reason please fix this update as it stops me being able to use instagram for both reasons ,5,False,Emilie12345,New updates issues!,Instagram
2023-01-12 17:21:45,so i noticed that instagram s community is terribly toxic and problematic all the time people are always rude to each other and are always starting arguments in comments over the most stupidest things the service is absolutely terrible when you try to report someone who has been cyber bullying you or your friend instagram comes up with this lame excuse to not take that account down because of too many reports of that account which just sounds lazy to me another thing instagram doesn t take posts down that goes to community guidelines but when it comes to my posts they do take it down even though it doesn t even go towards the community guidelines and the algorithm is absolutely terrible please fix this app i ve used it for 3 years now and saying this with experience the app is extremely toxic whatsoever it doesn t even let you comment the word gay as a joke because that word goes to the community guidelines which is homophobic and unbelievable not only that you literally banned me from using the add yours stickers and the option to react to messages and reply to them please fix this my instagram is up to date and it still does not work it also does not let me use the most recent updates features either this app is not fair i do not recommend downloading if you don t want your mental health messed up my mental health has been so messed up because of instagram this app is a complete joke and it s fake as anything ,1,False,"Emily Roberts,age 13",Terrible support.,Instagram
2022-03-14 11:12:44,i always enjoyed using instagram for me it was a good platform to express my creativity until instagram became bias and stopped giving everyone the same user experience on my account both personal and business i m not able to edit my reels anymore rearrange clips i had this option for maybe a month and then it miraculously disappeared i got excited thinking that s a new feature i was always missing until i found out that some users accounts were able to do that all along it s not giving every user equal opportunities so to speak i don t mind it becoming more of a video platform but the problem is that i can t even edit my clips i feel very limited and i think it s just discrimination perhaps based on how many followers you have and etc why some users are able to have additional options and others don t it s not a bug or a phone and etc i ve updated my app installed and uninstalled it nothing s changed it all started with this whole likes experiment some accounts were able to see likes some not and etc now they re experimenting on people with reels it s beyond disappointing if you want people to keep using it more engagement then give everyone same tools otherwise everyone will move on to different apps and instagram will be left with a limited amount of users and demographics ,2,False,Sauleee333,"Not as good as used to be, becoming bias",Instagram
2022-07-09 23:22:20,yes like others i don t like the new layout and agree forcing to make a reel to post a video is a ridiculous decision but we ll get used to it i guess however removing the ability to mute videos across the app and forcing users to use the volume control which controls volume for our entire phone is ridiculous why should i have to stop listening to my music while scrolling because dear ig developers turning down the sound on our phones means we can t view ig while listening to our music because we ve had to turn the main volume down how could this not be realised or have to remember to turn my volume back up once i leave the app or have to quickly turn down the volume lest annoy those around me because a reel generally one that is a misguided advertisement i m not interested in anyway starts playing and i don t have my headphones on please return the app specific ability to mute sound instead of taking the pretty aggressive and somewhat egotistical approach where users have to adjust their entire phone for this one app also remember this was a photography forward app if you want an app to rival tiktok then for pete s sake just make one don t repurpose this one but as that will fall on deaf ears at least listen to the masses of people about the sound control that was really a poor decision ,2,False,Aliann747,Removing sound control was a mistake,Instagram
2022-06-28 11:41:38,i m having the worst experience ever because of the lack of communication you have within your team i ve been shadow banned for almost two months now you are doing this illegally and none of my previous feedback is been heard and i never received a reply from you even all my reviews i found your sense of community lacking from the original meaning that it has because you don t really care about your community you are banning my profile without having the chance for my works and content all of this illegally and not specified in terms and conditions i don t like financing a ghost utopic community that doesn t consider myself as part of his own community too is just a shame and i m concerned i want to close both my accounts i have with you facebook instagram whatsapp i found both tiktok and twitter a better and more inclusive place where i could ve speak with a customer service and where i received a resolution too you don t listen you don t involve people of being part of your community because you trick them you trick your own users penalising them and without providing any kind of assistance in any issue they may find i didn t receive this treatment from any other social media but if you don t care about your community it will not be important deleting all my accounts from your platforms no comment ,1,False,carolinanzalone,YOU SHADOW BANNED MY INSTAGRAM ACCOUNT FOR TWO MONTHS NOW! INSTAGRAM IS A FAKE COMMUNITY!,Instagram
2022-07-06 13:15:30,i ve had instagram for about 6 years now and i never had issues until about 2 3 years ago my account would randomly get banned when i never do anything against instagrams guidelines and it s never just a simple date to date ban it goes on for about 2 months straight if for example i like something after my first original ban it will automatically trigger something to start a new ban and it will be longer this never used to happen but i get banned about 3 times a year now since this started another thing the instagram stories me and many other users have been having to rewatch stories we ve already seen constantly again and again and if it s not rewatching the stories it s as if the stories have crashed they never pop up at the top of my page anymore it always says i ve seen them all which i don t have the time to watch them because i follow so many people but it s just saying i ve seen every story which i haven t and i sometimes actually want to see some of the people i follow stories i don t know if this is because you could be sorting out the stories with the rewatching issue but it s now triggered a new issue for me my instagram is all up to date i have refreshed it all and also logged out a couple times to see if any improvement but nothing ,2,False,judemwilson,Issue after issue,Instagram
2022-05-08 01:15:23,recently instagram has decided to copy half of tik tok s features this includes their reels which are just incredibly annoying and out of sync with the rest of the app i preferred instagram s old saving method where you could hold down the save option icon and add a video to multiple save section folders over the new way of saving which is to press the three dots at the top of the video and select save and then add to a collection meaning you can only add the video to one collection unless you want to spend the time going all the way to the other collections you wanted the post in and going into its settings and adding the post manually tik tok actually has imo a worse saving system anyways so instagram copying it is a very strange and annoying move also instagram is forcing every video posted to be a reel unless of course it s a multiple media post which in turn people often feel forced to post instead of a one picture video post as to avoid the post being a reel this can be annoying in itself as instagram doesn t show the amount of views on a multi image video post only the amount of likes instagram please stop trying to copy tik tok and listen to what your users actually want it s not reels ,3,False,Gotham Sandwich,Instagram’s recent blunders,Instagram
2021-11-05 09:10:37,i have a business account on instagram which is linked to a page on facebook however everytime i write a post on instagram that i also want to post to fb it takes me hours to troubleshoot why it isn t doing so i can see both accounts are linked to one another on both platforms so i unlink and link on both platforms then try logging in and out of both platforms then try switching my phone off and on then i delete and reinstall the instagram app and i repeat all of this in a different order over and over again until i am enabled to push that share to facebook button on my post but what works once doesn t work the next time so i have to go through the whole process everytime i do a post also everytime i log out of insta and log back in all draft posts are deleted so i have to redo my post again just to see if that button works it s so incredibly frustrating it takes me hours sometimes days to fix it and it just seems random what works i ve also tries just posting on insta first then using the share function afterwards but that again randomly works sometimes and doesn t please fix this it s making it so frustrating running a small business on instagram but not as frustrating as running a page on fb i ll give it that ,2,False,peepoi,Issue syncing Instagram to FB,Instagram
2022-07-24 05:12:20,i didn t really use instagram in the past until recently but i don t post so i m not having the same issues as other people but one thing that i found quite annoying was that before i completely reset my iphone my instagram accounts weren t working and by that i mean when i went on some of my accounts on instagram the wi fi would just completely go and i couldn t view or post anything there were a few of my accounts that didn t do this which i thought was strange because it wasn t in the order i created them and i m someone who creates a lot of accounts so if that a an issue they should be able to at least fix that with all the money they make from this trash experimental app i can t be bothered to post anything and i certainly don t view strangers posts unlike pinterest which is a lot more useful and has quick feed i now only use instagram to follow my friends and look at a few peoples posts who i searched up and followed myself another thing i don t like is that you can t fully delete an account since i create lots of accounts i like to get rid of them to free up space but they are very easy to get back and they don t erase the account from your email meaning you can t use the same email twice at least that s what the case with me is ,2,False,myaa7264,Not sure what happened,Instagram
